State,Department,Website,District,Block,portal_value_id
Maharashtra,"Collector Office, Buldhana",RTI_Online_Maharashtra,,,207
Maharashtra,"Collector Office, Chandrapur",RTI_Online_Maharashtra,,,108
Maharashtra,"Collector Office, Dharashiv",RTI_Online_Maharashtra,,,179
Maharashtra,"Collector Office, Dhule",RTI_Online_Maharashtra,,,152
Maharashtra,"Collector Office, Gadchiroli",RTI_Online_Maharashtra,,,125
Maharashtra,"Collector Office, Gondia",RTI_Online_Maharashtra,,,132
Maharashtra,"Collector Office, Hingoli",RTI_Online_Maharashtra,,,205
Maharashtra,"Collector Office, Jalna",RTI_Online_Maharashtra,,,167
Maharashtra,"Collector Office, Kolhapur",RTI_Online_Maharashtra,,,124
Maharashtra,"Collector Office, Latur",RTI_Online_Maharashtra,,,175
Maharashtra,"Collector Office, Mumbai City",RTI_Online_Maharashtra,,,182
Maharashtra,"Collector Office, Mumbai Suburban",RTI_Online_Maharashtra,,,166
Maharashtra,"Collector Office, Nagpur",RTI_Online_Maharashtra,,,57
Maharashtra,"Collector Office, Nanded",RTI_Online_Maharashtra,,,99
Maharashtra,"Collector Office, Nandurbar",RTI_Online_Maharashtra,,,145
Maharashtra,"Collector Office, Palghar",RTI_Online_Maharashtra,,,204
Maharashtra,"Collector Office, Parbhani",RTI_Online_Maharashtra,,,151
Maharashtra,"Collector Office, Pune",RTI_Online_Maharashtra,,,48
Maharashtra,"Collector Office, Raigad",RTI_Online_Maharashtra,,,121
Maharashtra,"Collector Office, Ratnagiri",RTI_Online_Maharashtra,,,183
Maharashtra,"Collector Office, Sangli",RTI_Online_Maharashtra,,,197
Maharashtra,"Collector Office, Satara",RTI_Online_Maharashtra,,,156
Maharashtra,"Collector Office, Solapur",RTI_Online_Maharashtra,,,139
Maharashtra,"Collector Office, Wardha",RTI_Online_Maharashtra,,,160
Maharashtra,"Collector Office, Washim",RTI_Online_Maharashtra,,,177
Maharashtra,"Collector Office, Yavatmal",RTI_Online_Maharashtra,,,102
Maharashtra,"Collector Office,Amravati",RTI_Online_Maharashtra,,,61
Maharashtra,"Collector Office,Nashik",RTI_Online_Maharashtra,,,60
Maharashtra,"Collector Office,Sambhajinagar",RTI_Online_Maharashtra,,,62
Maharashtra,"Collector Office,Thane",RTI_Online_Maharashtra,,,46
Maharashtra,"Collector office, Sindhudurgh",RTI_Online_Maharashtra,,,170
Maharashtra,"Commissioner of Police, Amravati",RTI_Online_Maharashtra,,,71
Maharashtra,"Commissioner of Police, Mira Bhayandar Vasai-Virar",RTI_Online_Maharashtra,,,219
Maharashtra,"Commissioner of Police, Mumbai",RTI_Online_Maharashtra,,,209
Maharashtra,"Commissioner of Police, Nagpur",RTI_Online_Maharashtra,,,70
Maharashtra,"Commissioner of Police, Nashik",RTI_Online_Maharashtra,,,69
Maharashtra,"Commissioner of Police, Navi Mumbai",RTI_Online_Maharashtra,,,51
Maharashtra,"Commissioner of Police, Pimpri Chinchwad",RTI_Online_Maharashtra,,,215
Maharashtra,"Commissioner of Police, Pune",RTI_Online_Maharashtra,,,86
Maharashtra,"Commissioner of Police, Solapur",RTI_Online_Maharashtra,,,141
Maharashtra,"Commissioner of Police, Thane",RTI_Online_Maharashtra,,,53
Maharashtra,"Commissioner of Police,Sambhajinagar",RTI_Online_Maharashtra,,,72
Maharashtra,"Cooperative Commissioner's Office, Pune",RTI_Online_Maharashtra,,,224
Maharashtra,"Departmental Co-ordinator, Co-operative Societies, Konkan Division",RTI_Online_Maharashtra,,,230
Maharashtra,"Departmental Co-ordinator, Co-operative Societies, Pune",RTI_Online_Maharashtra,,,225
Maharashtra,"Deputy Director Land Record , Konkan Pradesh, Mumbai",RTI_Online_Maharashtra,,,293
Maharashtra,Deputy Director Of Land Record Chhatrapati Sambhajinagar,RTI_Online_Maharashtra,,,307
Maharashtra,Deputy Director Of Land Record Nanded,RTI_Online_Maharashtra,,,333
Maharashtra,Deputy Director Of Land Record Nashik Region Nashik,RTI_Online_Maharashtra,,,301
