State,Department,District,Block
Delhi,South Delhi Municipal Corporation,NA,NA
Delhi,State Council of Educational Research and Training (SCERT),NA,NA
Delhi,Tourism Department,NA,NA
Delhi,Trade & Taxes (Sales Tax) Department,NA,NA
Delhi,Transport Department,NA,NA
Delhi,Urban Development,NA,NA
Delhi,Urdu Academy,NA,NA
Delhi,Vigilance and Anti Corruption,NA,NA
Delhi,Weight & Measures Department,NA,NA
Delhi,Women & Child Development Department,NA,NA
Maharashtra,Department of Animal Husbandry and Dairying Government of Maharashtra,NA,NA
Maharashtra,Ahmednagar Municipal Corporation,Ahmednagar,NA
Maharashtra,Akola Municipal Corporation,Akola,NA
Maharashtra,Amravati Municipal Corporation,Amravati,NA
Maharashtra,Aurangabad Municipal Corporation,Aurangabad,NA
Maharashtra,Chandrapur Municipal Corporation,Chandrapur,NA
Maharashtra,"Chief Minister Office, Maharashtra",NA,NA
Maharashtra,Chief Secretary Office,NA,NA
Maharashtra,"District Collector Office, Ahmednagar",Ahmednagar,NA
Maharashtra,"District Collector Office, Akola",Akola,NA
Maharashtra,"District Collector Office, Amravati",Amravati,NA
Maharashtra,"District Collector Office, Aurangabad",Aurangabad,NA
Maharashtra,"District Collector Office, Beed",Beed,NA
Maharashtra,"District Collector Office, Bhandara",Bhandara,NA
Maharashtra,"District Collector Office, Buldhana",Buldhana,NA
Maharashtra,"District Collector Office,Chandrapur",Chandrapur,NA
Maharashtra,"District Collector Office, Dhule",Dhule,NA
Maharashtra,"District Collector Office, Gadchiroli",Gadchiroli,NA
Maharashtra,"District Collector Office, Gondia",Gondia,NA
Maharashtra,"District Collector Office, Hingoli",Hingoli,NA
Maharashtra,"District Collector Office, Jalgaon",Jalgaon,NA
Maharashtra,"District Collector Office, Jalna",Jalna,NA
Maharashtra,"District Collector Office, Kolhapur",Kolhapur,NA
Maharashtra,"District Collector Office,Latur",Latur,NA
Maharashtra,"District Collector Office, Mumbai City",Mumbai City,NA
Maharashtra,"District Collector Office, Mumbai Suburban",Mumbai Suburban,NA
Maharashtra,"District Collector Office, Nagpur",Nagpur,NA
Maharashtra,"District Collector Office, Nanded",Nanded,NA
Maharashtra,"District Collector Office, Nandurbar",Nandurbar,NA
Maharashtra,"District Collector Office, Nashik",Nashik,NA
Maharashtra,"District Collector Office, Osmanabad",Osmanabad,NA
Maharashtra,"District Collector Office, Palghar",Palghar,NA
Maharashtra,"District Collector Office, Parbhani",Parbhani,NA
Maharashtra,"District Collector Office, Pune",Pune,NA
Maharashtra,"District Collector Office, Raigad",Raigad,NA
Maharashtra,"District Collector Office, Ratnagiri",Ratnagiri,NA
Maharashtra,"District Collector Office, Sangli",Sangli,NA
Maharashtra,"District Collector Office, Satara",Satara,NA
Maharashtra,जिल्‍हाधिकारी Office Sindhudurg,Sindhudurg,NA
Maharashtra,"District Collector Office, Solapur",Solapur,NA
Maharashtra,"District Collector Office, Thane",Thane,NA
Maharashtra,"District Collector Office, Wardha",Wardha,NA
Maharashtra,"District Collector Office, Washim",Washim,NA
Maharashtra,"District Collector Office, Yavatmal",Yavatmal,NA
Maharashtra,"Police Commissioner, Amravati",Amravati,NA
Maharashtra,"Police Commissioner, Aurangabad",Aurangabad,NA
Maharashtra,"Police Commissioner, Mira Bhayandar Vasai-Virar",Mira Bhayandar Vasai-Virar,NA
Maharashtra,"Police Commissioner, Mumbai",NA,NA
Maharashtra,"Police Commissioner, Nagpur",Nagpur,NA
Maharashtra,"Police Commissioner, Nashik",Nashik,NA
Maharashtra,"Police Commissioner, Navi Mumbai",Navi Mumbai,NA
Maharashtra,"Police Commissioner, Pimpri Chinchwad",Pimpri Chinchwad,NA
Maharashtra,"Police Commissioner, Pune",Pune,NA
Maharashtra,"Police Commissioner, Solapur",Solapur,NA
Maharashtra,"Police Commissioner, Thane",Thane,NA
Maharashtra,"Department of co-operation, marketing and textile",NA,NA
Maharashtra,"Cooperation Commissioner Office, Pune",NA,NA
Maharashtra,"Divisional Joint Registrar, Co-operative Societies, Konkan Division (Navi Mumbai)",NA,NA
Maharashtra,"Divisional Joint Registrar, सहकारी संस्था, Pune",Pune,NA
Maharashtra,Dhule Municipal Corporation,Dhule,NA
Maharashtra,Directorate General of Information & Public Relations,NA,NA
Maharashtra,Directorate of Information Technology,NA,NA
Maharashtra,"District Deputy Registrar, Co-operative Societies 2 (Mumbai)",Mumbai,NA
Maharashtra,"District Deputy Registrar, Co-operative Societies 3 (Mumbai)",Mumbai,NA
Maharashtra,"District Deputy Registrar, Co-operative Societies 4 (Mumbai)",Mumbai,NA
Maharashtra,"District Deputy Registrar, Co-operative Societies, Thane",Thane,NA
Maharashtra,"Divisional Commissioner, Amravati",Amravati,NA
Maharashtra,"Divisional Commissioner, Aurangabad",Aurangabad,NA
Maharashtra,"Divisional Commissioner Office, Nagpur",Nagpur,NA
Maharashtra,"Divisional Commissioner Office, Nashik",Nashik,NA
Maharashtra,"Divisional Commissioner Office, Pune",Pune,NA
Maharashtra,"Divisional Joint Registrar, Co-operative Societies, Mumbai Division",NA,NA
Maharashtra,Employment Guarantee Scheme Department,NA,NA
Maharashtra,Environment Department,NA,NA
Maharashtra,Finance Department,NA,NA
Maharashtra,"Food, Civil Supplies & Consumer Protection Department",NA,NA
Maharashtra,"(General Administration Department), Government of Maharashtra",NA,NA
Maharashtra,Higher & Technical Education Department,NA,NA
Maharashtra,Home Department,NA,NA
Maharashtra,"Housing Department), Government of Maharashtra",NA,NA
Maharashtra,"Industries, Energy & Labour Department",NA,NA
Maharashtra,Jalgaon Municipal Corporation,Jalgaon,NA
Maharashtra,Kalyan-Dombivli Municipal Corporation,Kalyan-Dombivli,NA
Maharashtra,Kolhapur Municipal Corporation,Kolhapur,NA
Maharashtra,Konkan Divisional Commissioner Office,NA,NA
Maharashtra,Latur City Municipal Corporation,Latur,NA
Maharashtra,Law and Judiciary Department,NA,NA
Maharashtra,Maharashtra माहिती तंत्रज्ञान Corporation,Mumbai,NA
Maharashtra,Maharashtra लोकसेवा Commission,Mumbai,NA
Maharashtra,marathi language Department,NA,NA
Maharashtra,वैद्यकीय शिक्षण व औषधी द्रव्‍ये Department,NA,NA
Maharashtra,minority development Department,NA,NA
Maharashtra,Mira bhayandar Municipal Corporation,Mira Bhayandar,NA
Maharashtra,"Municipal Council, Buldhana",Buldhana,NA
Maharashtra,"Municipal Council, Desaiganj (Wadsa), Gadchiroli",Gadchiroli,NA
Maharashtra,"Municipal Council, Gadchiroli",Gadchiroli,NA
Maharashtra,"Municipal Council, Satara",Satara,NA
Maharashtra,Nagpur सुधार न्यास (Nagpur Improvement Trust),Nagpur,NA
Maharashtra,Nagpur Municipal Corporation,Nagpur,NA
Maharashtra,Nanded Municipal Corporation,Nanded,NA
Maharashtra,Nashik Municipal Corporation,Nashik,NA
Maharashtra,Navi Mumbai Municipal Corporation,Navi Mumbai,NA
Maharashtra,इतर मागास बहुजन कल्याण Department,NA,NA
Maharashtra,Panvel Municipal Corporation,Panvel,NA
Maharashtra,Parbhani Municipal Corporation,Parbhani,NA
Maharashtra,Parliamentary Affairs Department,NA,NA
Maharashtra,Department of disability welfare,NA,NA
Maharashtra,Pimpri Chinchwad Municipal Corporation,Pimpri Chinchwad,NA
Maharashtra,Department of planning,NA,NA
Maharashtra,public health Department,NA,NA
Maharashtra,Public works Department,NA,NA
Maharashtra,Pune Municipal Corporation,Pune,NA
Maharashtra,Revenue and Forest Department,NA,NA
Maharashtra,Rural Development Department,NA,NA
Maharashtra,Sangli-Miraj-Kupwad City Municipal Corporation,Sangli-Miraj-Kupwad,NA
Maharashtra,(School Education & Sports Department,NA,NA
Maharashtra,Skill Development and Entrepreneurship Department,NA,NA
Maharashtra,Social Justice and Special Assistance Department,NA,NA
Maharashtra,Soil and Water Conservation Department,NA,NA
Maharashtra,Solapur Municipal Corporation,Solapur,NA
Maharashtra,"State Information Commission, Amravati",Amravati,NA
Maharashtra,"State Information Commission, Aurangabad",Aurangabad,NA
Maharashtra,"State Information Commission, Greater Mumbai",Greater Mumbai,NA
Maharashtra,"State Information Commission, Konkan",NA,NA
Maharashtra,"State Information Commission, Maharashtra",Mumbai,NA
Maharashtra,"State Information Commission, Nagpur",Nagpur,NA
Maharashtra,"State Information Commission, Nashik",Nashik,NA
Maharashtra,"State Information Commission, Pune",Pune,NA
Maharashtra,"Superintendent of Police, Ahmednagar",Ahmednagar,NA
Maharashtra,"Superintendent of Police, Akola",Akola,NA
Maharashtra,"Superintendent of Police, Amravati",Amravati,NA
Maharashtra,"Superintendent of Police, Aurangabad Rural",Aurangabad,NA
Maharashtra,"Superintendent of Police, Beed",Beed,NA
Maharashtra,"Superintendent of Police, Bhandara",Bhandara,NA
Maharashtra,"Superintendent of Police, Buldhana",Buldhana,NA
Maharashtra,"Superintendent of Police, Chandrapur",Chandrapur,NA
Maharashtra,"Superintendent of Police, Dhule",Dhule,NA
Maharashtra,"Superintendent of Police, Gadchiroli",Gadchiroli,NA
Maharashtra,"Superintendent of Police, Gondia",Gondia,NA
Maharashtra,"Superintendent of Police, Hingoli",Hingoli,NA
Maharashtra,"Superintendent of Police, Jalgaon",Jalgaon,NA
Maharashtra,"Superintendent of Police, Jalna",Jalna,NA
Maharashtra,"Superintendent of Police, Kolhapur",Kolhapur,NA
Maharashtra,"Superintendent of Police, Latur Rural",Latur,NA
Maharashtra,"Superintendent of Police, Nagpur Rural",Nagpur,NA
Maharashtra,"Superintendent of Police, Nanded",Nanded,NA
Maharashtra,"Superintendent of Police, Nandurbar",Nandurbar,NA
Maharashtra,"Superintendent of Police, Nashik Rural",Nashik,NA
Maharashtra,"Superintendent of Police, Osmanabad",Osmanabad,NA
Maharashtra,"Superintendent of Police, Palghar",Palghar,NA
Maharashtra,"Superintendent of Police, Parbhani",Parbhani,NA
Maharashtra,"Superintendent of Police, Pune",Pune,NA
Maharashtra,"Superintendent of Police, Raigad",Raigad,NA
Maharashtra,"Superintendent of Police, Ratnagiri",Ratnagiri,NA
Maharashtra,"Superintendent of Police, Sangli",Sangli,NA
Maharashtra,"Superintendent of Police, Satara",Satara,NA
Maharashtra,"Superintendent of Police, Sindhudurg",Sindhudurg,NA
Maharashtra,"Superintendent of Police, Solapur Rural",Solapur,NA
Maharashtra,"Superintendent of Police, Thane Rural",Thane,NA
Maharashtra,"Superintendent of Police, Wardha",Wardha,NA
Maharashtra,"Superintendent of Police, Washim Rural",Washim,NA
Maharashtra,"Superintendent of Police, Yavatmal",Yavatmal,NA
Maharashtra,"Tehsil Office, Akola",Akola,Akola
Maharashtra,"Tehsil Office, Gondia",Gondia,Gondia
Maharashtra,"Tehsil Office, Jalgaon",Jalgaon,Jalgaon
Maharashtra,"Tehsil Office, Nagpur",Nagpur,Nagpur
Maharashtra,"Tehsil Office, Pune",Pune,Pune
Maharashtra,"Tehsil Office, Satara",Satara,Satara
Maharashtra,"Tehsil Office, Washim",Washim,Washim
Maharashtra,"Tehsil Office, Yavatmal",Yavatmal,Yavatmal
Maharashtra,Textile Department,NA,NA
Maharashtra,Thane Municipal Corporation,Thane,NA
Maharashtra,Department of Cultural Affairs,NA,NA
Maharashtra,Department of tribal development,NA,NA
Maharashtra,Department of urban development,NA,NA
Maharashtra,Vasai Virar City Municipal Corporation,Vasai Virar,NA
Maharashtra,Wardha Municipal Council,Wardha,NA
Maharashtra,Water resource Department,NA,NA
Maharashtra,water supply and sanitation Department,NA,NA
Maharashtra,Department of women and child development,NA,NA
Maharashtra,Yavatmal Municipal Council,Yavatmal,NA
Maharashtra,"Zilla Parishad, Ahmednagar",Ahmednagar,NA
Maharashtra,"Zilla Parishad, Akola",Akola,NA
Maharashtra,"Zilla Parishad, Amravati",Amravati,NA
Maharashtra,"Zilla Parishad, Aurangabad",Aurangabad,NA
Maharashtra,"Zilla Parishad, Beed",Beed,NA
Maharashtra,"Zilla Parishad, Bhandara",Bhandara,NA
Maharashtra,"Zilla Parishad, Buldhana",Buldhana,NA
Maharashtra,"Zilla Parishad, Chandrapur",Chandrapur,NA
Maharashtra,"Zilla Parishad, Dhule",Dhule,NA
Maharashtra,"Zilla Parishad, Gadchiroli",Gadchiroli,NA
Maharashtra,"Zilla Parishad, Gondia",Gondia,NA
Maharashtra,"Zilla Parishad, Hingoli",Hingoli,NA
Maharashtra,"Zilla Parishad, Jalgaon",Jalgaon,NA
Maharashtra,"Zilla Parishad, Jalna",Jalna,NA
Maharashtra,"Zilla Parishad, Kolhapur",Kolhapur,NA
Maharashtra,"Zilla Parishad, Latur",Latur,NA
Maharashtra,"Zilla Parishad, Nagpur",Nagpur,NA
Maharashtra,"Zilla Parishad, Nanded",Nanded,NA
Maharashtra,"Zilla Parishad, Nandurbar",Nandurbar,NA
Maharashtra,"Zilla Parishad, Nashik",Nashik,NA
Maharashtra,"Zilla Parishad, Osmanabad",Osmanabad,NA
Maharashtra,"Zilla Parishad, Palghar",Palghar,NA
Maharashtra,"Zilla Parishad, Parbhani",Parbhani,NA
Maharashtra,"Zilla Parishad, Pune",Pune,NA
Maharashtra,"Zilla Parishad, Raigad",Raigad,NA
Maharashtra,"Zilla Parishad, Ratnagiri",Ratnagiri,NA
Maharashtra,"Zilla Parishad, Sangli",Sangli,NA
Maharashtra,"Zilla Parishad, Satara",Satara,NA
Maharashtra,"Zilla Parishad, Sindhudurg",Sindhudurg,NA
Maharashtra,"Zilla Parishad, Solapur",Solapur,NA
Maharashtra,"Zilla Parishad, Thane",Thane,NA
Maharashtra,"Zilla Parishad, Wardha",Wardha,NA
Maharashtra,"Zilla Parishad, Washim",Washim,NA
Maharashtra,"Zilla Parishad, Yavatmal",Yavatmal,NA
