application_id,batch_id,state,office_name,dept_group,district,block,portal,portal_value_id,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
MH-020,dm2026q3_01,Maharashtra,"Regional Office, Navi Mumbai, Maharashtra Pollution Control Board",REGIONAL OFFICE,,,RTI_Online_Maharashtra,343,plain,RA3,v3,en,portal,,,,,,,,,,,,,
MH-021,dm2026q3_01,Maharashtra,"Regional Office, Pune, Maharashtra Pollution Control Board",REGIONAL OFFICE,,,RTI_Online_Maharashtra,347,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-022,dm2026q3_01,Maharashtra,"State Information Commission, Greater Mumbai",STATE INFORMATION COMMISSION,Greater Mumbai,NA,RTI_Online_Maharashtra,93,plain,RA4,v3,en,portal,,,,,,,,,,,,,
MH-023,dm2026q3_01,Maharashtra,"State Information Commission, Pune",STATE INFORMATION COMMISSION,Pune,NA,RTI_Online_Maharashtra,91,plain,RA1,v3,en,portal,,,,,,,,,,,,,
MH-024,dm2026q3_01,Maharashtra,"Superintendent of Police, Akola",SUPERINTENDENT OF POLICE,Akola,NA,RTI_Online_Maharashtra,138,plain,RA3,v3,en,portal,,,,,,,,,,,,,
MH-025,dm2026q3_01,Maharashtra,"Superintendent of Police, Dhule",SUPERINTENDENT OF POLICE,Dhule,NA,RTI_Online_Maharashtra,154,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
MH-026,dm2026q3_01,Maharashtra,"Superintendent of Police, Palghar",SUPERINTENDENT OF POLICE,Palghar,NA,RTI_Online_Maharashtra,202,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
MH-027,dm2026q3_01,Maharashtra,"Tehsil office, Nagpur",TEHSIL OFFICE,Nagpur,Nagpur,RTI_Online_Maharashtra,81,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-028,dm2026q3_01,Maharashtra,"Tehsil office, Pune",TEHSIL OFFICE,Pune,Pune,RTI_Online_Maharashtra,82,plain,RA2,v3,en,portal,,,,,,,,,,,,,
MH-029,dm2026q3_01,Maharashtra,Textile Department,TEXTILE,NA,NA,RTI_Online_Maharashtra,221,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
MH-030,dm2026q3_01,Maharashtra,Yavatmal Municipal Council,YAVATMAL MUNICIPAL COUNCIL,Yavatmal,NA,RTI_Online_Maharashtra,105,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
MH-031,dm2026q3_01,Maharashtra,"Zilla Parishad, Ahilyanagar",ZILLA PARISHAD,,,RTI_Online_Maharashtra,118,plain,RA4,v3,en,portal,,,,,,,,,,,,,
MH-032,dm2026q3_01,Maharashtra,"Zilla Parishad, Gondia",ZILLA PARISHAD,Gondia,NA,RTI_Online_Maharashtra,134,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
MH-033,dm2026q3_01,Maharashtra,"Zilla Parishad, Wardha",ZILLA PARISHAD,Wardha,NA,RTI_Online_Maharashtra,162,plain,RA2,v3,en,portal,,,,,,,,,,,,,
